Agency,General Type,Granular Type,Latitude,Longitude,County,"June 30, 2016 Accrued Liability (AL)","June 30, 2016 Market Value of Assets (MVA)","June 30, 2016 Unfunded Accrued Liability (UAL)",2017-18 Estimated Total Employer Contribution,2018-19 Estimated Total Employer Contribution,2019-20 Estimated Total Employer Contribution,2020-21 Estimated Total Employer Contribution,2021-22 Estimated Total Employer Contribution,2022-23 Estimated Total Employer Contribution,2023-24 Estimated Total Employer Contribution,2024-25 Estimated Total Employer Contribution,,Best 2019-20 Estimated Total Employer Contribution,Best 2020-21 Estimated Total Employer Contribution,Best 2021-22 Estimated Total Employer Contribution,Best 2022-23 Estimated Total Employer Contribution,,Worst 2019-20 Estimated Total Employer Contribution,Worst 2020-21 Estimated Total Employer Contribution,Worst 2021-22 Estimated Total Employer Contribution,Worst 2022-23 Estimated Total Employer Contribution
AUBURN PUBLIC CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,38.9026828,-121.0870816,0,"12,68,812","8,91,888","3,76,924","55,314","62,406","69,468","56,281","61,333","65,273","69,241","72,239",,"69,468","54,941","58,092","60,224",,"69,468","58,621","65,673","74,603"
AVILA BEACH COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,35.1806327,-120.7333083,0,"3,65,835","2,36,950","1,28,885","12,797","13,452","13,392","14,342","14,236","15,334","16,434","16,537",,"13,392","13,362","13,128","12,868",,"13,392","16,242","16,076","18,144"
"AZTEC SHOPS, LTD.",,,32.7755867,-117.0699341,0,"3,72,03,203","2,72,49,273","99,53,930","11,34,658","8,90,512","10,56,164","12,10,762","13,57,163","14,85,889","15,76,855","16,55,973",,"10,56,164","11,68,562","12,46,719","12,64,500",,"10,56,164","12,55,962","14,92,863","17,59,289"
BALDWIN PARK UNIFIED SCHOOL DISTRICT,SCHOOL DISTRICT,,34.0817875,-117.9608258,0,"72,14,539","53,87,843","18,26,696","2,04,523","2,21,826","2,57,852","2,93,202","3,24,558","3,51,045","3,70,666","3,88,426",,"2,57,852","2,85,202","3,06,995","3,15,424",,"2,57,852","3,02,202","3,50,558","4,04,045"
BARD WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,32.7815053,-114.5795219,0,"19,48,844","17,47,459","2,01,385","40,268","50,426","56,470","66,297","74,021","80,791","85,208","89,013",,"56,470","64,297","56,534","60,298",,"56,470","69,397","82,221","98,291"
BARDSDALE CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,34.3607722,-118.9403098,0,"3,35,036","2,78,697","56,339","7,240","9,935","10,899","13,035","13,864","15,200","16,043","16,793",,"10,899","12,089","13,038","9,099",,"10,899","14,135","15,804","18,430"
BARSTOW CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,34.9231658,-117.0249133,0,"6,63,762","4,56,402","2,07,360","44,142","11,436","14,200","16,719","18,861","21,006","22,157","23,311",,"14,200","15,719","17,164","16,632",,"14,200","17,719","20,861","26,006"
BAY AREA AIR QUALITY MANAGEMENT DISTRICT,SPECIAL DISTRICT/AUTHORITY,,37.7880121,-122.3915205,ALAMEDA COUNTY,"28,35,94,027","20,64,79,102","7,71,14,925","63,37,759","75,90,799","89,18,574","1,00,96,774","1,11,88,647","1,21,50,576","1,28,40,654","1,34,48,973",,"89,18,574","97,77,774","1,04,53,688","1,06,04,559",,"89,18,574","1,04,32,774","1,21,92,647","1,41,64,576"
BAY AREA WATER SUPPLY AND CONSERVATION AGENCY,SPECIAL DISTRICT/AUTHORITY,,37.5496382,-122.3167359,ALAMEDA COUNTY,"27,02,566","21,45,503","5,57,063","1,09,838","1,25,290","1,40,403","1,59,577","1,72,766","1,83,057","1,92,153","2,00,357",,"1,40,403","1,56,277","1,67,275","1,71,114",,"1,40,403","1,62,777","1,83,566","2,04,557"
BEACH CITIES HEALTH DISTRICT,SPECIAL DISTRICT/AUTHORITY,,33.8530266,-118.379159,0,"1,18,42,029","92,50,252","25,91,777","4,09,528","4,21,035","4,81,438","5,49,286","6,03,422","6,52,964","6,87,823","7,21,008",,"4,81,438","5,34,686","5,75,570","5,96,328",,"4,81,438","5,64,886","6,49,422","7,44,964"
