Agency,General Type,Granular Type,Latitude,Longitude,County,"June 30, 2016 Accrued Liability (AL)","June 30, 2016 Market Value of Assets (MVA)","June 30, 2016 Unfunded Accrued Liability (UAL)",2017-18 Estimated Total Employer Contribution,2018-19 Estimated Total Employer Contribution,2019-20 Estimated Total Employer Contribution,2020-21 Estimated Total Employer Contribution,2021-22 Estimated Total Employer Contribution,2022-23 Estimated Total Employer Contribution,2023-24 Estimated Total Employer Contribution,2024-25 Estimated Total Employer Contribution,,Best 2019-20 Estimated Total Employer Contribution,Best 2020-21 Estimated Total Employer Contribution,Best 2021-22 Estimated Total Employer Contribution,Best 2022-23 Estimated Total Employer Contribution,,Worst 2019-20 Estimated Total Employer Contribution,Worst 2020-21 Estimated Total Employer Contribution,Worst 2021-22 Estimated Total Employer Contribution,Worst 2022-23 Estimated Total Employer Contribution
HUMBOLDT COUNTY ASSOCIATION OF GOVERNMENTS,ASSOCIATION OF GOVERNMENTS,,40.8012874,-124.1621228,HUMBOLDT COUNTY,"16,63,511","13,31,799","3,31,712","37,454","46,174","54,364","63,801","70,935","77,103","82,306","85,545",,"54,364","61,801","67,590","69,572",,"54,364","65,801","77,935","91,103"
HUMBOLDT STATE UNIVERSITY CENTER BOARD OF DIRECTORS,,,40.8752748,-124.077821,0,"1,68,69,845","1,51,76,112","16,93,733","4,32,459","2,14,814","2,62,814","3,31,562","3,90,719","4,43,163","4,77,501","5,05,838",,"2,62,814","3,12,362","3,43,667","2,47,805",,"2,62,814","3,51,762","4,52,319","5,65,263"
HUMBOLDT TRANSIT AUTHORITY,SPECIAL DISTRICT/AUTHORITY,TRANSPORTATION DISTRICT/AUTHORITY,40.80658,-124.148781,0,"83,84,925","63,30,922","20,54,003","2,55,829","3,05,926","3,47,591","3,63,950","4,01,283","4,34,702","4,58,114","4,79,524",,"3,47,591","3,54,750","3,80,409","3,95,019",,"3,47,591","3,75,250","4,32,983","4,98,102"
HUMBOLDT WASTE MANAGEMENT AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,40.78833,-124.1833677,0,"30,08,218","24,15,005","5,93,213","1,51,563","1,62,575","1,81,791","2,09,235","2,25,327","2,39,563","2,49,747","2,60,183",,"1,81,791","2,05,135","2,21,962","2,33,445",,"1,81,791","2,13,235","2,36,527","2,64,063"
IDYLLWILD FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,33.7470185,-116.7153899,0,"97,57,201","69,61,352","27,95,849","2,61,182","3,03,453","3,48,606","3,90,454","4,30,578","4,66,895","4,25,230","4,45,586",,"3,48,606","3,80,374","4,04,233","4,11,537",,"3,48,606","4,01,524","4,63,878","5,33,395"
"INDEPENDENT CITIES ASSOCIATION, INC.",,,ZERO_RESULTS,ZERO_RESULTS,0,"1,53,072","1,10,263","42,809","3,245","4,222","4,200","4,400","4,600","4,800","5,000","5,100",,"4,200","4,100","3,800","3,300",,"4,200","4,600","5,300","6,300"
INDIAN WELLS VALLEY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,35.6228029,-117.6792007,0,"1,24,25,566","96,51,582","27,73,984","2,61,417","3,17,222","3,76,400","4,36,202","4,86,769","5,32,524","5,62,243","5,90,321",,"3,76,400","4,21,102","4,53,436","4,61,482",,"3,76,400","4,52,302","5,35,069","6,29,024"
"INLAND COUNTIES REGIONAL CENTER, INC.",,,34.075783,-117.2779008,0,"17,00,59,217","13,82,73,529","3,17,85,688","42,58,769","51,59,232","61,17,056","67,37,206","75,45,662","82,83,912","88,10,069","92,66,252",,"61,17,056","65,13,206","71,71,648","51,04,304",,"61,17,056","69,72,206","82,56,662","97,21,912"
INLAND EMPIRE HEALTH PLAN,,,34.0822358,-117.5689563,0,"13,27,76,808","11,56,30,772","1,71,46,036","80,11,412","96,01,844","1,04,57,867","1,18,54,507","1,24,17,112","1,30,03,205","1,36,13,101","1,42,47,124",,"1,04,57,867","1,16,53,507","1,27,40,145","1,38,81,494",,"1,04,57,867","1,21,15,507","1,32,23,112","1,46,68,205"
INLAND EMPIRE RESOURCE CONSERVATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,,34.065766,-117.24012,0,"12,10,538","12,05,490","5,048","24,587","29,338","31,252","35,900","38,567","41,365","44,222","46,712",,"31,252","33,750","36,483","39,495",,"31,252","37,840","44,597","53,565"
INLAND EMPIRE UTILITIES AGENCY,SPECIAL DISTRICT/AUTHORITY,,33.9674625,-117.6765448,0,"17,69,82,736","12,95,78,252","4,74,04,484","48,04,861","53,93,037","60,10,011","67,67,528","74,07,904","81,03,901","85,77,598","89,93,076",,"60,10,011","65,54,528","69,52,183","71,68,316",,"60,10,011","69,92,528","80,83,904","94,66,901"
INTELECOM INTELLIGENT TELECOMMUNICATIONS,,,ZERO_RESULTS,ZERO_RESULTS,0,"79,42,859","61,69,935","17,72,924","1,09,811","1,34,812","1,69,105","2,24,239","2,54,606","2,81,039","2,97,638","3,13,136",,"1,69,105","2,14,139","2,27,003","2,26,281",,"1,69,105","2,34,339","2,84,806","3,42,539"
INTERGOVERNMENTAL TRAINING AND DEVELOPMENT CENTER,,,32.8956358,-117.188648,0,"32,70,224","23,49,632","9,20,592","94,780","1,14,466","1,31,277","1,35,847","1,50,023","1,62,228","1,71,493","1,78,819",,"1,31,277","1,31,797","1,40,999","1,45,204",,"1,31,277","1,39,877","1,61,223","1,85,628"
INVERNESS PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,38.0969208,-122.8542486,0,"15,46,767","11,56,487","3,90,280","54,379","70,697","79,184","69,197","76,476","81,792","86,152","90,551",,"79,184","67,197","72,862","74,836",,"79,184","70,197","81,476","93,792"
IRONHOUSE SANITARY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,37.9967462,-121.7041019,CONTRA COSTA COUNTY,"1,62,79,693","1,20,60,570","42,19,123","6,47,574","5,23,650","6,00,269","6,83,974","7,52,275","8,13,904","8,56,269","8,95,481",,"6,00,269","6,64,974","7,11,175","7,28,959",,"6,00,269","7,04,074","8,12,475","9,34,404"
IRVINE RANCH WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,33.6679794,-117.7668773,0,"24,44,77,950","17,93,60,877","6,51,17,073","61,49,303","71,40,333","81,95,502","93,15,562","1,02,90,189","1,11,79,595","1,18,21,863","1,23,86,079",,"81,95,502","90,33,562","96,13,584","98,31,053",,"81,95,502","96,10,562","1,11,79,189","1,29,66,595"
ISLA VISTA RECREATION AND PARK DISTRICT,SPECIAL DISTRICT/AUTHORITY,PARK OR RECREATION DISTRICT,34.4115761,-119.8573864,0,"25,75,238","19,55,614","6,19,624","1,03,057","1,23,084","1,38,746","1,58,200","1,69,558","1,80,605","1,89,743","1,80,975",,"1,38,746","1,55,100","1,65,041","1,72,897",,"1,38,746","1,61,200","1,78,620","2,00,665"
JACKSON VALLEY IRRIGATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,IRRIGATION DISTRICT,38.3021298,-120.8977678,0,"1,71,186","1,42,265","28,921","13,133","16,235","17,745","20,254","21,448","22,559","22,784","23,697",,"17,745","20,024","21,020","21,261",,"17,745","20,484","22,138","24,099"
JAMESTOWN SANITARY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,37.9556297,-120.4217869,0,"19,72,376","13,52,095","6,20,281","55,418","59,956","69,110","76,634","84,600","91,489","95,321","1,00,238",,"69,110","74,634","78,675","78,834",,"69,110","78,734","91,700","1,04,789"
JANESVILLE FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,40.2928348,-120.510576,0,"1,29,970","1,22,362","7,608",0,"1,226","1,300","1,400","1,600","1,800","2,000","2,100",,"1,300",920,0,0,,"1,300","1,700","2,400","3,400"
JOSHUA BASIN WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,34.1377544,-116.3157648,0,"26,35,456","21,51,528","4,83,928","1,44,890","1,70,464","1,90,070","2,16,442","2,30,105","2,45,126","2,56,110","2,66,161",,"1,90,070","2,12,242","2,28,738","2,06,090",,"1,90,070","2,19,542","2,40,605","2,65,926"
JUNE LAKE PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,37.7831289,-119.0732977,0,"43,88,266","32,17,277","11,70,989","1,37,714","1,07,079","1,25,430","1,43,608","1,60,113","1,73,942","1,84,515","1,94,134",,"1,25,430","1,39,858","1,47,157","1,48,727",,"1,25,430","1,48,638","1,75,203","2,05,112"
JURUPA AREA RECREATION AND PARK DISTRICT,SPECIAL DISTRICT/AUTHORITY,PARK OR RECREATION DISTRICT,34.0016118,-117.4739219,0,"22,34,337","16,27,446","6,06,891","1,09,296","1,29,743","1,41,225","1,55,512","1,67,286","1,34,130","1,38,848","1,44,642",,"1,41,225","1,53,412","1,62,768","1,23,387",,"1,41,225","1,58,612","1,75,686","1,50,930"
JURUPA COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,34.0118947,-117.5299104,0,"3,57,78,733","2,67,25,773","90,52,960","17,37,426","18,24,502","20,33,081","22,93,061","24,71,763","23,67,716","24,74,057","25,81,626",,"20,33,081","22,52,061","24,20,209","22,57,103",,"20,33,081","23,38,061","26,03,763","26,35,716"
KAWEAH DELTA WATER CONSERVATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,,36.3241806,-119.2075815,0,"64,44,931","60,19,303","4,25,628","1,02,709","1,10,341","1,28,698","1,58,760","1,79,927","2,03,106","2,17,503","2,29,919",,"1,28,698","1,49,660","1,39,479","1,50,071",,"1,28,698","1,68,960","2,10,427","2,63,106"
KELSEYVILLE FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,38.9780438,-122.8371223,0,"1,13,29,827","78,51,842","34,77,985","3,85,132","4,51,735","5,09,812","5,68,003","6,17,103","6,61,331","6,95,053","7,25,617",,"5,09,812","5,56,913","5,94,756","6,14,699",,"5,09,812","5,82,403","6,56,293","7,38,051"
KENSINGTON COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,37.9062363,-122.2787218,CONTRA COSTA COUNTY,"1,28,43,429","90,21,779","38,21,650","4,67,150","4,16,183","4,81,017","5,43,826","5,98,494","6,46,396","6,81,543","7,12,932",,"4,81,017","5,29,820","5,67,927","5,86,790",,"4,81,017","5,58,833","6,41,514","7,33,436"
KENTFIELD FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,37.9561073,-122.5475045,0,"2,32,33,474","1,74,96,464","57,37,010","7,49,036","6,64,465","7,73,524","8,81,875","9,76,168","10,58,932","11,17,879","11,71,020",,"7,73,524","8,51,515","9,08,053","9,23,122",,"7,73,524","9,14,075","10,67,068","12,36,832"
KENWOOD FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,38.418356,-122.550739,0,"8,37,146","6,13,327","2,23,819","29,602","29,037","32,824","37,303","39,646","43,205","45,781","47,375",,"32,824","35,103","37,594","39,158",,"32,824","37,143","42,746","49,385"
KERN COUNTY COUNCIL OF GOVERNMENTS,ASSOCIATION OF GOVERNMENTS,,35.375963,-119.01784,KERN COUNTY,"1,02,11,880","74,42,605","27,69,275","3,21,585","3,69,837","4,20,866","4,75,777","4,82,610","5,21,649","5,50,898","5,76,365",,"4,20,866","4,63,777","4,61,122","4,75,605",,"4,20,866","4,87,802","5,19,990","5,97,019"
KERN COUNTY LAW LIBRARY,,,35.3728022,-119.0177812,KERN COUNTY,"6,11,570","9,57,226","-3,45,656","11,447","12,137","13,100","14,843","15,288","15,747","16,219","16,706",,"13,100","14,843","16,330","17,894",,"13,100","14,843","15,288","15,747"
KERN COUNTY LOCAL AGENCY FORMATION COMMISSION,SPECIAL DISTRICT/AUTHORITY,,35.3592755,-119.0626164,KERN COUNTY,"24,21,888","17,12,061","7,09,827","60,738","66,738","77,285","87,547","96,433","1,04,346","1,10,286","1,16,255",,"77,285","84,517","89,065","89,876",,"77,285","90,647","1,04,493","1,21,404"
KERN HEALTH SYSTEMS,,,35.3553565,-119.1105473,0,"3,12,43,580","2,52,55,031","59,88,549","14,65,309","17,87,670","19,84,458","22,59,220","24,33,996","25,97,356","27,24,347","28,40,017",,"19,84,458","22,19,220","24,05,098","25,48,881",,"19,84,458","23,01,220","25,59,996","28,50,356"
KERN RIVER VALLEY CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,35.720223,-118.436915,0,"5,14,054","4,11,914","1,02,140","9,249","11,630","14,065","16,757","18,711","20,972","22,242","23,519",,"14,065","16,057","17,405","10,196",,"14,065","17,357","20,711","24,972"
KERN-TULARE WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,35.3628988,-119.0573607,0,"30,20,120","23,50,925","6,69,195","63,655","82,574","97,234","1,12,085","1,24,990","1,43,951","1,51,976","1,59,060",,"97,234","1,09,943","1,16,935","1,28,243",,"97,234","1,16,091","1,36,004","1,66,991"
KETTLEMAN CITY COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,36.0082314,-119.9664427,0,"5,89,110","4,57,228","1,31,882","15,561","18,627","21,839","25,433","27,866","30,312","31,771","33,244",,"21,839","24,433","26,879","27,400",,"21,839","26,433","29,866","34,312"
KINGS COUNTY AREA PUBLIC TRANSIT AGENCY,SPECIAL DISTRICT/AUTHORITY,TRANSPORTATION DISTRICT/AUTHORITY,36.3254225,-119.6543836,KINGS COUNTY,"10,00,145","7,63,437","2,36,708","30,336","40,833","46,581","53,275","57,408","61,581","65,756","67,933",,"46,581","52,255","56,189","59,840",,"46,581","54,295","61,478","69,711"
KINGS COUNTY ASSOCIATION OF GOVERNMENTS,ASSOCIATION OF GOVERNMENTS,,36.3013999,-119.7858052,KINGS COUNTY,"7,81,566","6,50,584","1,30,982","33,201","45,405","50,586","59,033","62,032","65,473","68,957","71,486",,"50,586","56,983","60,578","55,198",,"50,586","58,668","65,113","72,613"
KINGS COUNTY IN-HOME SUPPORTIVE SERVICES PUBLIC AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,36.329873,-119.664005,KINGS COUNTY,"5,17,205","4,18,556","98,649","24,917","30,388","31,002","35,297","38,092","41,121","43,127","44,138",,"31,002","34,667","37,299","32,931",,"31,002","36,027","40,182","45,301"
KINGS MOSQUITO ABATEMENT DISTRICT,SPECIAL DISTRICT/AUTHORITY,VECTOR CONTROL DISTRICT,36.301932,-119.652786,0,"52,25,064","47,53,109","4,71,955","74,474","77,071","90,339","1,12,608","1,29,365","1,47,217","1,58,117","1,66,977",,"90,339","1,05,568","91,897","1,01,900",,"90,339","1,20,658","1,52,515","1,94,537"
KINGS WASTE AND RECYCLING AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,36.3026192,-119.5973447,0,"72,38,818","56,67,596","15,71,222","2,18,060","1,78,979","2,12,660","2,52,337","2,81,549","3,08,931","3,27,399","3,44,008",,"2,12,660","2,43,297","2,65,242","2,01,067",,"2,12,660","2,61,387","3,09,679","3,65,181"
KINNELOA IRRIGATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,IRRIGATION DISTRICT,34.1789746,-118.0915662,0,"12,43,554","9,77,766","2,65,788","31,409","37,689","44,013","51,473","56,357","61,268","65,206","68,172",,"44,013","49,473","54,427","56,532",,"44,013","53,473","61,357","71,268"
KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,38.6899839,-120.0713769,0,"32,78,647","23,65,321","9,13,326","1,68,488","1,71,475","1,92,251","2,16,940","2,33,070","2,48,372","2,38,920","2,49,438",,"1,92,251","2,12,910","2,30,038","2,40,810",,"1,92,251","2,20,960","2,45,170","2,72,572"
KONOCTI COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,38.947511,-122.616231,0,"8,81,422","6,94,176","1,87,246","36,118","39,776","44,396","51,010","53,228","57,376","59,495","61,687",,"44,396","50,010","52,215","53,048",,"44,396","52,110","57,328","64,676"
LA BRANZA WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,33.9478794,-117.9651019,0,"17,363","21,765","-4,402",0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,360,46
LA HABRA HEIGHTS COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,33.9478794,-117.9651019,0,"48,19,738","40,94,537","7,25,201","98,245","96,617","1,14,530","1,37,512","1,55,807","1,73,171","1,83,606","1,94,114",,"1,14,530","1,31,512","1,43,180","92,240",,"1,14,530","1,43,512","1,74,807","2,11,171"
LA PUENTE VALLEY COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,34.0205222,-117.9525079,0,"29,75,925","23,61,089","6,14,836","85,240","1,08,909","1,24,996","1,44,383","1,58,364","1,70,428","1,77,967","1,86,146",,"1,24,996","1,40,283","1,52,068","1,57,710",,"1,24,996","1,48,383","1,70,464","1,94,728"
LAGUNA BEACH COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,33.5448198,-117.7810991,0,"2,35,32,412","1,78,01,504","57,30,908","5,64,935","6,70,493","7,84,673","8,99,529","9,98,247","10,85,364","11,47,993","12,02,846",,"7,84,673","8,71,429","9,34,337","9,58,340",,"7,84,673","9,29,729","10,86,747","12,63,264"
LAKE ARROWHEAD COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,34.2463474,-117.2072751,0,"2,80,69,891","2,00,30,447","80,39,444","7,24,595","8,50,320","9,76,463","11,03,354","12,17,287","13,19,637","13,94,517","14,60,479",,"9,76,463","10,71,894","11,41,050","11,64,854",,"9,76,463","11,36,904","13,16,857","15,19,477"
LAKE COUNTY FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,38.9611223,-122.6348923,LAKE COUNTY,"1,08,71,931","77,08,142","31,63,789","4,69,208","4,97,864","5,58,561","6,26,238","6,77,142","7,24,453","7,59,778","7,92,429",,"5,58,561","6,13,118","6,58,671","6,83,898",,"5,58,561","6,37,438","7,14,642","7,99,253"
LAKE COUNTY VECTOR CONTROL DISTRICT,SPECIAL DISTRICT/AUTHORITY,VECTOR CONTROL DISTRICT,39.039016,-122.913864,LAKE COUNTY,"63,41,184","44,58,537","18,82,647","2,10,869","2,39,513","2,69,018","2,38,993","2,63,362","2,85,493","3,02,718","3,17,040",,"2,69,018","2,31,893","2,47,468","2,52,105",,"2,69,018","2,46,103","2,85,460","3,30,588"
LAKE DON PEDRO COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,37.6536608,-120.3116118,0,"15,12,906","12,08,202","3,04,704","27,266","34,098","40,070","46,943","51,189","56,855","60,541","63,247",,"40,070","43,543","47,500","26,246",,"40,070","47,587","57,299","69,045"
LAKE HEMET MUNICIPAL WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,33.7381928,-116.8938451,0,"3,24,18,523","2,34,12,027","90,06,496","7,30,278","9,34,300","10,79,104","12,27,118","13,58,374","14,75,990","15,59,349","16,34,864",,"10,79,104","11,90,088","12,69,957","12,99,526",,"10,79,104","12,66,148","14,75,574","17,11,490"
LAKE OROVILLE AREA PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,39.496404,-121.54953,0,"29,73,819","17,73,791","12,00,028","1,50,687","1,62,749","1,77,597","1,93,132","2,07,398","2,19,734","2,30,142","2,39,621",,"1,77,597","1,91,492","2,01,491","2,09,314",,"1,77,597","1,96,145","2,16,435","2,37,804"
LAKE SHASTINA COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,41.5273833,-122.3636325,0,"23,32,768","15,17,153","8,15,615","87,475","91,210","1,01,647","1,13,668","1,22,861","1,32,097","1,38,427","1,44,682",,"1,01,647","1,10,658","1,17,848","1,20,803",,"1,01,647","1,15,688","1,30,861","1,47,197"
LAKE VALLEY FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,38.8486583,-120.0193299,0,"3,39,79,768","2,54,03,713","85,76,055","9,13,332","10,14,697","11,78,852","13,44,151","14,87,121","16,12,681","17,05,461","17,85,668",,"11,78,852","13,05,822","13,98,738","14,37,922",,"11,78,852","13,86,468","16,11,071","18,60,491"
LAKEPORT COUNTY FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,39.0451105,-122.915317,0,"69,47,169","51,68,162","17,79,007","2,23,241","2,51,542","2,89,012","3,29,412","3,60,935","3,88,324","4,08,984","4,28,320",,"2,89,012","3,20,912","3,44,715","3,57,540",,"2,89,012","3,38,112","3,85,635","4,38,424"
LAKESIDE FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,32.8665338,-116.9282067,0,"8,68,25,117","6,08,91,834","2,59,33,283","20,29,090","23,10,218","27,10,352","30,54,132","33,97,192","36,97,355","39,14,037","41,04,616",,"27,10,352","29,60,612","31,51,761","31,97,515",,"27,10,352","31,53,662","36,93,762","42,89,065"
LAKESIDE WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,32.8655406,-116.9213033,0,"79,74,310","59,19,518","20,54,792","1,78,606","2,16,111","2,49,704","2,83,220","3,15,816","3,43,520","3,64,341","3,81,265",,"2,49,704","2,74,803","2,92,384","2,97,827",,"2,49,704","2,93,247","3,44,899","4,02,680"
LAMONT PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,35.2562209,-118.9088811,0,"4,93,524","4,52,829","40,695","45,435","33,198","36,513","42,277","44,989","47,857","50,100","52,251",,"36,513","41,517","42,828","46,344",,"36,513","43,027","47,259","52,217"
LAS GALLINAS VALLEY SANITARY DISTRICT OF MARIN COUNTY,SPECIAL DISTRICT/AUTHORITY,,38.0251302,-122.5187864,0,"1,15,92,369","85,41,877","30,50,492","3,58,770","4,11,446","4,68,266","5,30,450","5,81,854","6,27,613","6,61,334","6,91,226",,"4,68,266","5,17,250","5,54,494","5,71,479",,"4,68,266","5,44,650","6,24,554","7,12,913"
LAS VIRGENES MUNICIPAL WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,34.1362032,-118.701926,0,"8,88,90,209","6,85,78,575","2,03,11,634","21,48,973","24,78,991","28,00,046","31,25,858","34,44,644","37,24,593","39,41,741","41,32,123",,"28,00,046","30,19,858","31,84,946","32,07,178",,"28,00,046","32,36,858","37,76,644","43,90,593"
LASSEN COUNTY WATERWORKS DISTRICT NO. 1,SPECIAL DISTRICT/AUTHORITY,,ZERO_RESULTS,ZERO_RESULTS,0,"3,87,583","2,94,328","93,255","8,080","10,571","10,960","11,627","12,469","13,225","13,553","14,684",,"10,960","12,687","10,569","10,005",,"10,960","12,147","13,839","16,055"
LEAGUE OF CALIFORNIA CITIES,ASSOCIATION OF GOVERNMENTS,,38.5773296,-121.4882295,0,"3,61,99,211","2,84,11,230","77,87,981","7,23,228","8,92,065","10,58,348","12,27,770","13,76,425","15,07,715","15,99,958","16,79,569",,"10,58,348","11,83,470","12,74,734","13,00,099",,"10,58,348","12,75,170","15,18,525","17,91,715"
LEUCADIA WASTEWATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,33.086765,-117.26634,0,"1,55,47,465","1,16,16,119","39,31,346","3,84,411","4,40,622","5,07,885","5,78,658","6,41,801","6,97,280","7,37,902","7,73,773",,"5,07,885","5,59,658","5,98,612","6,10,081",,"5,07,885","5,97,758","6,99,001","8,13,580"
LEVEE DISTRICT NO. 1 OF SUTTER COUNTY,SPECIAL DISTRICT/AUTHORITY,,39.1845974,-121.6206569,0,"2,27,473","1,81,731","45,742","7,379","12,147","13,795","15,917","17,180","18,355","19,240","20,038",,"13,795","15,617","17,131","18,208",,"13,795","16,217","18,080","20,155"
LINDA COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,39.1219466,-121.5679754,0,"70,25,101","46,00,289","24,24,812","2,94,597","3,37,038","3,68,955","4,05,216","4,37,199","4,66,296","4,87,510","3,31,774",,"3,68,955","3,98,216","4,19,774","4,31,905",,"3,68,955","4,12,216","4,59,299","5,12,396"
LINDA FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,39.0037685,-121.5530966,0,"63,10,540","48,80,578","14,29,962","2,27,208","2,35,884","2,71,329","3,09,665","3,38,691","3,63,790","3,83,677","4,00,638",,"2,71,329","3,03,627","3,26,865","3,35,104",,"2,71,329","3,17,076","3,61,022","4,09,550"
LINDEN-PETERS RURAL COUNTY FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,38.016746,-121.099179,0,"81,62,009","58,66,997","22,95,012","2,44,562","3,00,228","3,46,480","4,17,072","4,53,304","4,86,549","5,07,932","5,31,029",,"3,46,480","4,08,612","4,34,103","4,49,391",,"3,46,480","4,26,532","4,81,663","5,43,238"
LINDSAY STRATHMORE PUBLIC CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,36.1972631,-119.0747201,0,"7,54,394","9,21,589","-1,67,195","10,897","14,500","15,299","17,502","17,471","17,995","18,535","19,091",,"15,299","17,092","18,603","20,348",,"15,299","17,942","20,681","22,595"
LITTLE LAKE FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,ZERO_RESULTS,ZERO_RESULTS,0,"14,96,120","13,53,008","1,43,112","30,484","34,148","38,211","45,744","49,710","55,466","58,954","62,375",,"38,211","43,074","36,875","39,737",,"38,211","48,984","57,380","69,416"
LITTLEROCK CREEK IRRIGATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,IRRIGATION DISTRICT,34.5202431,-117.9749029,0,"35,06,424","26,92,178","8,14,246","60,007","76,964","92,637","1,06,695","1,20,065","1,30,770","1,39,151","1,45,530",,"92,637","1,01,695","1,08,055","1,08,074",,"92,637","1,10,795","1,33,265","1,57,100"
LIVE OAK CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,39.279064,-121.679181,0,"4,44,052","3,29,016","1,15,036","10,799","15,537","17,909","20,711","21,733","24,055","24,387","25,729",,"17,909","20,161","20,851","21,568",,"17,909","21,261","23,781","27,102"
LIVERMORE/AMADOR VALLEY TRANSIT AUTHORITY,SPECIAL DISTRICT/AUTHORITY,TRANSPORTATION DISTRICT/AUTHORITY,37.6913688,-121.8008535,ALAMEDA COUNTY,"47,00,780","36,53,833","10,46,947","1,37,087","1,61,676","1,84,860","2,10,647","2,31,331","2,49,229","2,62,944","2,75,579",,"1,84,860","2,04,447","2,19,611","2,23,423",,"1,84,860","2,16,847","2,49,031","2,85,629"
